cgpa,skills_score,projects,internship,certifications,job_fit_score
6.87,7,0,0,7,111.78
9.75,4,9,0,8,157.64
8.66,2,4,0,3,103.9
7.99,5,10,0,7,150.81
5.78,3,5,1,8,114.82
5.78,9,3,1,1,118.68
5.29,6,6,0,2,99.72
9.33,1,2,1,0,100.08
8.01,3,6,1,0,109.3
8.54,4,0,1,5,113.61
5.1,9,6,1,0,119.16
9.85,6,0,0,4,117.76
9.16,4,10,1,5,154.18
6.06,1,0,0,8,75.3
5.91,8,1,0,5,106.36
5.92,2,1,0,3,69.13
6.52,8,3,0,0,102.09
7.62,6,0,0,5,108.69
7.16,8,3,0,6,124.81
6.46,6,1,0,4,99.01
8.06,5,3,0,5,114.7
5.7,5,3,0,7,101.33
6.46,10,8,0,0,132.48
6.83,10,8,1,7,168.89
7.28,8,0,1,1,108.5
8.93,7,4,1,1,135.98
6.0,8,6,0,7,131.07
7.57,8,3,0,1,114.01
7.96,7,4,0,7,136.5
5.23,2,1,0,4,72.2
8.04,9,2,0,8,139.48
5.85,7,6,1,8,141.26
5.33,6,9,1,7,138.98
9.74,9,6,0,8,170.01
9.83,1,3,0,6,115.77
9.04,2,0,1,7,111.65
6.52,1,0,1,5,79.88
5.49,10,3,1,8,140.83
8.42,3,3,0,1,100.56
7.2,5,5,0,2,110.11
5.61,1,6,0,1,74.07
7.48,4,8,0,5,125.58
5.17,8,8,1,2,131.33
9.55,6,9,1,0,155.54
6.29,1,4,0,3,80.81
8.31,1,9,1,4,128.34
6.56,3,10,0,3,119.76
7.6,10,2,1,5,143.65
7.73,8,2,0,2,114.66
5.92,8,5,1,5,130.84
9.85,3,0,1,0,101.39
8.88,7,6,1,5,160.67
9.7,3,2,0,7,124.42
9.47,4,4,1,7,141.48
7.99,9,6,0,0,136.38
9.61,4,6,0,6,139.94
5.44,3,8,1,3,110.49
5.98,5,0,0,5,86.4
5.23,7,2,0,5,98.78
6.63,5,8,0,4,121.93
6.94,4,7,0,8,123.62
6.36,8,1,1,7,124.88
9.14,4,7,0,5,136.16
